Mega-diverse country,Primary Language,Span Port or French,Red List Count 2018_1
India,23 official languages including English,No,
Australia,English,No,
South Africa,English,No,
United States of America,English,No,
Philippines,Filipino,No,
Democratic Republic of Congo,French,Yes,681
Indonesia,Indonesian,No,
Madagascar,Malagasy,No,
Malaysia,Malaysian,No,
Brazil,Portuguese,Yes,1430
Colombia,Spanish,Yes,833
Ecuador,Spanish,Yes,2973
Mexico,Spanish,Yes,1637
Peru,Spanish,Yes,885
Venezuela,Spanish,Yes,621
China,"Standard Mandarin, Cantonese",No,
Papua New Guinea,"Tok Pisin, English, Hiri Motu and Papua New Guinean Sign Language",No,
